des,price_Brunei,des,price_Cambodia,des,price_Indonesia,des,price_Laos,des,price_Malaysia,des,price_Myanmar,des,price_Philippines,des,price_Singapore,des,price_Vietnam,des,price_Thailand
Apartment (1 bedroom) in City Centre,"20,839.60 ฿",Apartment (1 bedroom) in City Centre,"14,592.98 ฿",Apartment (1 bedroom) in City Centre,"9,142.55 ฿",Apartment (1 bedroom) in City Centre,"19,126.39 ฿",Apartment (1 bedroom) in City Centre,"10,838.68 ฿",Apartment (1 bedroom) in City Centre,"19,810.56 ฿",Apartment (1 bedroom) in City Centre,"9,853.84 ฿",Apartment (1 bedroom) in City Centre,"68,079.81 ฿",Apartment (1 bedroom) in City Centre,"12,785.57 ฿",Apartment (1 bedroom) in City Centre,"12,106.38 ฿"
Apartment (1 bedroom) Outside of Centre,"16,979.68 ฿",Apartment (1 bedroom) Outside of Centre,"7,894.54 ฿",Apartment (1 bedroom) Outside of Centre,"5,538.79 ฿",Apartment (1 bedroom) Outside of Centre,"8,671.18 ฿",Apartment (1 bedroom) Outside of Centre,"6,778.13 ฿",Apartment (1 bedroom) Outside of Centre,"11,570.61 ฿",Apartment (1 bedroom) Outside of Centre,"5,692.27 ฿",Apartment (1 bedroom) Outside of Centre,"46,684.80 ฿",Apartment (1 bedroom) Outside of Centre,"8,368.06 ฿",Apartment (1 bedroom) Outside of Centre,"7,128.61 ฿"
Apartment (3 bedrooms) in City Centre,"39,428.55 ฿",Apartment (3 bedrooms) in City Centre,"35,178.61 ฿",Apartment (3 bedrooms) in City Centre,"21,325.53 ฿",Apartment (3 bedrooms) in City Centre,"36,331.57 ฿",Apartment (3 bedrooms) in City Centre,"19,030.63 ฿",Apartment (3 bedrooms) in City Centre,"39,776.13 ฿",Apartment (3 bedrooms) in City Centre,"20,852.19 ฿",Apartment (3 bedrooms) in City Centre,"138,620.68 ฿",Apartment (3 bedrooms) in City Centre,"27,843.81 ฿",Apartment (3 bedrooms) in City Centre,"37,565.76 ฿"
Apartment (3 bedrooms) Outside of Centre,"27,953.66 ฿",Apartment (3 bedrooms) Outside of Centre,"22,133.56 ฿",Apartment (3 bedrooms) Outside of Centre,"12,972.04 ฿",Apartment (3 bedrooms) Outside of Centre,"21,240.97 ฿",Apartment (3 bedrooms) Outside of Centre,"12,547.04 ฿",Apartment (3 bedrooms) Outside of Centre,"32,192.68 ฿",Apartment (3 bedrooms) Outside of Centre,"11,926.77 ฿",Apartment (3 bedrooms) Outside of Centre,"76,865.22 ฿",Apartment (3 bedrooms) Outside of Centre,"16,652.13 ฿",Apartment (3 bedrooms) Outside of Centre,"20,233.58 ฿"
Buy Apartment Price,Edit,Buy Apartment Price,Edit,Buy Apartment Price,Edit,Buy Apartment Price,Edit,Buy Apartment Price,Edit,Buy Apartment Price,Edit,Buy Apartment Price,Edit,Buy Apartment Price,Edit,Buy Apartment Price,Edit,Buy Apartment Price,Edit
Price per Square Meter to Buy Apartment in City Centre,"46,874.62 ฿",Price per Square Meter to Buy Apartment in City Centre,"67,100.22 ฿",Price per Square Meter to Buy Apartment in City Centre,"55,180.51 ฿",Price per Square Meter to Buy Apartment in City Centre,"75,437.11 ฿",Price per Square Meter to Buy Apartment in City Centre,"63,635.31 ฿",Price per Square Meter to Buy Apartment in City Centre,"27,345.99 ฿",Price per Square Meter to Buy Apartment in City Centre,"73,606.61 ฿",Price per Square Meter to Buy Apartment in City Centre,"594,915.39 ฿",Price per Square Meter to Buy Apartment in City Centre,"77,170.91 ฿",Price per Square Meter to Buy Apartment in City Centre,"112,020.40 ฿"
Price per Square Meter to Buy Apartment Outside of Centre,"29,647.20 ฿",Price per Square Meter to Buy Apartment Outside of Centre,"40,355.30 ฿",Price per Square Meter to Buy Apartment Outside of Centre,"29,539.94 ฿",Price per Square Meter to Buy Apartment Outside of Centre,"11,263.44 ฿",Price per Square Meter to Buy Apartment Outside of Centre,"37,069.23 ฿",Price per Square Meter to Buy Apartment Outside of Centre,"7,307.95 ฿",Price per Square Meter to Buy Apartment Outside of Centre,"42,100.80 ฿",Price per Square Meter to Buy Apartment Outside of Centre,"313,220.06 ฿",Price per Square Meter to Buy Apartment Outside of Centre,"42,368.17 ฿",Price per Square Meter to Buy Apartment Outside of Centre,"56,432.34 ฿"
Salaries And Financing,Edit,Salaries And Financing,Edit,Salaries And Financing,Edit,Salaries And Financing,Edit,Salaries And Financing,Edit,Salaries And Financing,Edit,Salaries And Financing,Edit,Salaries And Financing,Edit,Salaries And Financing,Edit,Salaries And Financing,Edit
Average Monthly Net Salary (After Tax),"61,863.58 ฿",Average Monthly Net Salary (After Tax),"8,558.09 ฿",Average Monthly Net Salary (After Tax),"9,754.06 ฿",Average Monthly Net Salary (After Tax),"10,108.24 ฿",Average Monthly Net Salary (After Tax),"26,201.88 ฿",Average Monthly Net Salary (After Tax),"7,677.57 ฿",Average Monthly Net Salary (After Tax),"9,957.56 ฿",Average Monthly Net Salary (After Tax),"133,302.86 ฿",Average Monthly Net Salary (After Tax),"14,808.36 ฿",Average Monthly Net Salary (After Tax),"18,519.80 ฿"
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.17,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",9.72,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",9.87,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",10.12,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.13,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",12.43,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7.61,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",1.90,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",9.62,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.24
